"Date","Open","High","Low","Close","% Change","% Change vs Average","Volume","MA ma (10,C,ema,0)","MA ma (200,C,ma,0)"
"2026-03-26T07:00:00.000Z","176.07","176.51","171.14","171.24","-4.16","-4.33","186,152,233","177.24","179.11"
"2026-03-27T07:00:00.000Z","170.00","170.97","167.01","167.52","-2.17","-2.34","196,212,684","175.47","179.23"
"2026-03-30T07:00:00.000Z","168.78","169.45","164.27","165.17","-1.40","-1.57","185,626,993","173.60","179.34"
"2026-03-31T07:00:00.000Z","166.97","174.62","166.96","174.40","5.59","5.42","226,181,301","173.74","179.49"
"2026-04-01T07:00:00.000Z","176.00","177.37","174.75","175.75","0.7741","0.6081","168,132,006","174.11","179.65"
"2026-04-02T07:00:00.000Z","172.18","177.49","171.37","177.39","0.9331","0.7671","143,143,157","174.71","179.82"
"2026-04-06T07:00:00.000Z","177.16","177.79","175.76","177.64","0.1409","-0.0251","107,564,280","175.24","179.99"
"2026-04-07T07:00:00.000Z","175.72","178.23","173.66","178.10","0.2590","0.0929","132,534,902","175.76","180.15"
"2026-04-08T07:00:00.000Z","184.50","185.26","180.30","182.08","2.23","2.07","147,732,687","176.91","180.34"
"2026-04-09T07:00:00.000Z","181.84","184.08","180.62","183.91","1.01","0.8390","116,428,523","178.18","180.54"
"2026-04-10T07:00:00.000Z","184.31","190.00","184.30","188.63","2.57","2.40","160,459,525","180.08","180.74"
"2026-04-13T07:00:00.000Z","186.03","189.66","185.74","189.31","0.3605","0.1945","133,648,181","181.76","180.92"
"2026-04-14T07:00:00.000Z","190.84","196.51","190.77","196.51","3.80","3.64","161,307,010","184.44","181.12"
"2026-04-15T07:00:00.000Z","196.54","200.40","195.74","198.87","1.20","1.03","185,338,389","187.06","181.33"
"2026-04-16T07:00:00.000Z","197.43","199.85","195.81","198.35","-0.2615","-0.4275","134,012,860","189.12","181.53"
"2026-04-17T07:00:00.000Z","199.90","201.70","199.27","201.68","1.68","1.51","160,324,417","191.40","181.77"
"2026-04-20T07:00:00.000Z","199.98","202.17","197.84","202.06","0.1884","0.0224","119,381,388","193.34","182.00"
"2026-04-21T07:00:00.000Z","202.13","202.75","199.00","199.88","-1.08","-1.24","107,945,303","194.53","182.20"
"2026-04-22T07:00:00.000Z","200.99","202.50","199.00","202.50","1.31","1.14","107,501,042","195.98","182.42"
"2026-04-23T07:00:00.000Z","202.46","203.83","197.22","199.64","-1.41","-1.58","113,561,831","196.64","182.62"
"2026-04-24T07:00:00.000Z","199.96","210.95","199.81","208.27","4.32","4.16","213,841,345","198.76","182.85"
